$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
-1, 2, 3, 1, 1, 1, 2, -1, 3, 0, 1, 3, -1, 1, 0, 2, 3, 0, 0, 0, 1, -1, 3, 2, 0, 2, -1, 2, 0, 2, 2, 1, 1, 0, -1, 0, 1, 0, -1, -1, 2, 1, -1, 1, 0, 3, 0, -1, 2, 3, 2837, 727, 584
0, 0, 0, 3, -1, -1, 3, 3, 2, -1, 1, -1, 0, 2, 1, -1, 3, 1, 2, 1, 2, 3, 2, -1, 1, 2, 2, 3, 1, 0, -1, -1, 1, 1, 1, 0, 0, 1, 2, 0, 0, 2, 3, 0, 2, -1, 0, 2, 0, 1, 3023, 727, 584
2, 1, 0, 2, 1, 0, -1, 1, 0, -1, 3, 0, 1, 0, 0, 0, 1, 2, -1, 3, 2, 3, 1, 3, 3, 0, 1, 2, 0, -1, 1, 3, 3, 3, -1, 2, 3, 1, 0, 3, 0, 0, 2, 1, 2, -1, 3, 1, 1, -1, 3180, 727, 584
2, 0, 1, 1, 2, 1, 3, -1, 1, 0, 0, 2, 1, 2, 3, 0, 3, 2, 2, 0, 3, -1, 2, 1, 1, 2, 0, 2, 0, 0, -1, 0, 2, 3, 2, 0, 1, -1, 2, 0, 1, 1, 0, 0, 0, 1, 1, 3, 2, 1, 3369, 727, 584
-1, 0, 1, 2, 2, 3, 3, 0, 1, 1, 1, 0, 1, -1, -1, 2, 3, 0, 2, 3, -1, 1, 3, 0, 2, 3, 0, 1, 1, 0, 2, 2, 0, 0, 1, 2, 1, 2, -1, -1, 3, 0, 0, -1, -1, 3, 2, 3, 0, 0, 2855, 727, 584
-1, 3, 2, 3, 1, -1, 0, 1, 0, 1, 0, 2, 2, 0, -1, 2, 2, 0, 1, -1, 0, 3, 2, 2, 3, 0, -1, -1, 0, 0, 2, 1, 2, 3, 1, -1, 1, 0, -1, 2, 3, 0, 0, 0, 3, 0, -1, 2, 3, 1, 2769, 727, 584
2, 2, 3, 1, 2, -1, 0, -1, 1, 0, 2, 1, -1, 2, 1, -1, -1, -1, 3, -1, 1, 2, 2, 0, 0, -1, -1, 1, 0, 3, 0, 3, 3, 2, 3, 2, 2, 1, 0, 3, 0, 2, -1, -1, -1, -1, 1, 0, 2, 2, 2375, 727, 584
1, 1, 3, 3, 0, 2, 1, 3, 0, -1, 1, 1, 1, 1, 3, 2, 1, 0, 0, 2, 2, 0, 0, 2, 0, -1, -1, 3, 2, 2, 1, -1, 3, 0, 2, 3, 3, 2, 3, 0, 3, 1, 3, 1, 1, 1, 0, -1, 0, 2, 3040, 727, 584
-1, 1, 2, 0, 1, 2, 1, 1, 2, 0, 2, 1, 3, 0, 2, 1, 3, -1, 1, 3, 1, 3, -1, 0, -1, 1, -1, 3, 1, 1, 2, 2, -1, 0, 2, 3, 0, 0, 2, 2, 2, 0, 1, 3, 0, -1, 0, 2, 0, 1, 2920, 727, 584
0, 1, 1, -1, -1, -1, 2, 3, 2, -1, 2, -1, 3, 0, 0, 0, 3, 1, -1, 2, -1, 1, -1, 2, 3, 2, -1, 2, -1, -1, 2, 1, 0, 0, 3, 1, 1, 1, 1, 0, 1, 0, 3, -1, -1, 3, 2, 0, 0, 0, 2556, 727, 584
2, 1, 3, 2, 0, -1, 1, 2, 2, 0, 1, -1, 1, 2, 2, 1, 0, 1, 1, 3, 0, 0, 1, 3, 3, -1, 0, -1, 0, 3, 2, 3, 1, 2, 2, 2, 2, 2, 0, 3, -1, 1, 3, 1, 0, 1, 1, -1, 0, -1, 2793, 727, 584
0, 0, 3, 1, -1, 2, 3, 1, 0, -1, 1, 3, -1, 1, 1, 1, 3, 2, 1, -1, 0, -1, 2, 3, 2, 2, 0, -1, 2, 0, 1, 0, 0, 2, -1, -1, 2, 1, 3, 2, 0, 1, 1, 3, 3, 1, 0, 0, 3, 0, 2875, 727, 584
2, 0, 2, 2, 1, 0, 2, 3, 2, 2, 2, 0, 2, 3, 0, 0, 1, 1, 3, 1, -1, 1, 1, 1, 0, 3, 3, 3, 2, 1, 0, 3, -1, 2, 0, -1, 0, 3, -1, 1, -1, 2, 2, 2, 0, 0, 0, 1, 3, 1, 3059, 727, 584
3, 0, 2, -1, 2, 2, 0, 1, 0, -1, 0, 3, 1, 0, 0, 3, 1, -1, 0, 2, -1, 1, 1, 2, 3, 2, 3, 2, 0, 0, 1, 1, 2, 0, -1, 2, -1, 1, -1, 2, 1, 3, 0, 0, 0, 0, 1, 0, -1, 2, 2997, 727, 584
1, 2, 0, 2, 0, 0, 0, 1, 0, 3, 1, -1, 0, 1, 2, 0, 3, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 3, 2, 0, 0, 1, 0, 1, 1, 0, 1, -1, 3, 0, 3, -1, 1, -1, 1, 0, 2, 3, 1, 2, 3357, 727, 584
2, 1, -1, 1, -1, 0, 0, 0, 1, -1, 1, 1, 0, 3, 1, -1, 2, 3, -1, 3, 2, 0, 2, 0, 3, -1, 3, 2, 0, 3, 2, -1, 1, 3, 1, 1, -1, 2, 0, 0, 0, 0, 3, 3, 2, 3, 2, 1, -1, 0, 2767, 727, 584
0, 0, 1, 0, 1, 1, 1, 2, 3, 1, -1, 0, 2, -1, 2, 2, 3, 2, 0, 2, -1, 1, 1, 1, -1, 0, 0, 3, -1, 2, 2, -1, 0, 2, 3, 1, 0, 0, 1, 2, 2, 0, 2, 0, 0, 3, 1, 0, 1, 1, 3092, 727, 584
0, 0, 1, 2, 2, 1, 0, 2, 1, 3, 3, -1, 0, 1, 1, 3, 2, 1, 3, 1, -1, 1, 1, 3, 0, 2, 2, 3, 0, 1, 2, 2, -1, 0, -1, 2, 0, 0, 0, 3, 2, 0, -1, 0, -1, -1, 3, 0, 2, 2, 3054, 727, 584
1, 0, 0, 1, 1, -1, 2, 0, 0, 0, 3, 1, 0, 2, 1, 1, -1, 1, 2, 0, 0, 2, 0, 2, -1, 0, 1, 0, -1, 3, 3, 0, 3, 2, 3, 1, 2, 3, 2, 1, 2, 0, 2, 0, 2, 2, 2, -1, 1, 1, 3235, 727, 584
-1, 1, -1, 1, 3, 1, -1, 1, 0, -1, 1, -1, 1, 3, 3, 3, 1, 1, 2, 0, 0, 0, 0, 2, 3, 1, 2, 2, 2, 0, 0, 2, 3, 1, 1, 3, 2, 2, 2, 2, -1, 0, 3, 0, 1, 0, 2, 0, 2, 2, 3001, 727, 584
0, 0, 2, 2, 0, 1, 1, 0, 1, 2, 2, 0, 0, -1, 0, 3, 2, 2, -1, 1, 3, 1, 2, 3, 1, 3, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 0, 0, 2, -1, 3, 0, -1, 3, 3, 0, 1, 0, 0, 3193, 727, 584
2, 3, 0, 3, 2, 0, 1, -1, 0, -1, 0, 3, 1, 3, 3, 2, 2, 1, 1, 3, 3, 2, 1, -1, 3, -1, 1, 2, 0, 0, 2, 3, 2, 2, 0, 3, 0, 2, 3, 1, 0, 2, 1, -1, 0, 0, 0, 2, 1, 3, 2990, 727, 584
0, 0, 2, 1, 0, -1, 1, 2, -1, 0, 2, 0, 0, 1, 2, 1, 3, -1, 2, 1, 1, 1, 0, 0, 2, -1, 2, 1, 2, 3, 1, 2, 3, 3, 0, 0, 2, 3, 2, 1, -1, 3, 1, 0, -1, 2, -1, 2, 1, -1, 2900, 727, 584
2, -1, -1, 1, 1, 0, 1, 3, 1, 1, 0, 0, 0, 1, 2, 3, 3, 0, -1, 2, 0, 2, 2, 1, 1, 1, -1, 1, -1, 1, 3, 0, 1, -1, 3, 2, 3, 2, -1, 2, 0, 3, 1, 2, -1, 3, 0, 2, 0, 3, 2790, 727, 584
1, 1, 3, 2, 0, 3, 0, 2, 0, 2, 0, 1, 0, 2, 0, 3, -1, 1, 2, 1, 2, 0, 2, -1, 2, 1, 0, 3, 1, 1, 0, 1, 3, -1, 0, 1, 2, -1, 3, 2, -1, 3, 1, 0, -1, 3, 1, 0, 3, 0, 2959, 727, 584
3, 0, 2, 0, 1, -1, 3, 2, 2, 3, 0, 0, 2, 2, 3, 3, 1, 2, 2, 3, -1, 2, 2, 1, 1, 1, -1, 0, 0, 0, 0, -1, 2, 0, 1, 1, 0, 2, 0, 0, 1, 1, 2, 2, 1, 0, 3, 1, -1, -1, 3139, 727, 584
-1, 2, 3, -1, 0, -1, 0, 0, 3, -1, 2, 3, 2, 3, 1, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 3, 2, 3, 2, 2, -1, 0, 3, 2, 2, 0, 1, 0, 0, 1, 3, 2, 2, 3, 3, 2, 1, 0, -1, 2843, 727, 584
-1, 3, 0, 2, 1, 0, 1, 0, -1, 1, 2, 2, 1, -1, 3, 1, 0, 0, 2, 1, 3, 0, 2, 3, 0, 1, 1, 0, 1, 1, 2, 2, 2, 1, 2, 2, 2, 0, 0, 3, -1, 3, 2, 1, 1, 1, 2, 3, 2, 0, 3113, 727, 584
