Problem,Algorithm,GenNo,PopSize,Median-HV,IQR-HV,Median-spreads,IQR-spreads,Median-PFS,IQR-PFS
 POM3A, NSGAII-normal,1,100,1253951.774,21733.83373,0.523948007,0.039988811,100,0
 POM3A, NSGAIISC-8192,1,100,1260062.927,23306.3769,0.536882419,0.068436223,100,0
 POM3A, SPEA2SC-512,1,100,1265573.355,28905.75318,0.493414359,0.049888647,100,0
 POM3A, NSGAIISC-4096,1,100,1266910.775,21327.39013,0.537112154,0.060980811,100,0
 POM3A, SPEA2SC-100,1,100,1253474.703,20692.54793,0.490604198,0.035903563,100,0
 POM3A, NSGAIISC-1024,1,100,1251486.241,21945.00305,0.543879348,0.078412517,100,0
 POM3A, NSGAIISC-100,1,100,1243722.723,18409.58653,0.54672696,0.053831781,100,0
 POM3A, NSGAIISC-512,1,100,1261092.673,31416.24465,0.537088079,0.035069157,100,0
 POM3A, SPEA2SC-1024,1,100,1262685.415,19293.09598,0.484408938,0.060308899,100,0
 POM3A, NSGAIISC-2048,1,100,1258325.559,13166.70833,0.558113757,0.051389199,100,0
 POM3A, SPEA2-normal,1,100,1257647.942,24551.5403,0.487604422,0.030159769,100,0
 POM3A, SPEA2SC-8192,1,100,1262965.828,19420.30735,0.514900872,0.049558428,100,0
 POM3A, SPEA2SC-4096,1,100,1259486.534,28910.43365,0.503461046,0.049308722,100,0
 POM3A, SPEA2SC-2048,1,100,1260258.051,32292.1913,0.475639751,0.059915245,100,0
 POM3A, SPEA2SC-10000,1,100,1261192,30272.50688,0.518964307,0.063755671,100,0
 POM3A, NSGAIISC-10000,1,100,1268149.223,32442.3045,0.550523709,0.022406067,100,0
 POM3B, NSGAII-normal,1,100,1247017.291,15746.38693,0.529774148,0.059816951,100,0
 POM3B, NSGAIISC-8192,1,100,1252878.203,22815.98645,0.536152298,0.055592325,100,0
 POM3B, SPEA2SC-512,1,100,1257161.259,21949.61843,0.481519618,0.042719053,100,0
 POM3B, NSGAIISC-4096,1,100,1255721.677,22473.45945,0.540519532,0.062471686,100,0
