$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,-1.0,1.0,-1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,-1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,-1.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,96652.0,629,99432.0
1.0,2.0,0.0,3.0,-1.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,-1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0,3.0,-1.0,0.0,96583.0,611,99441.0
3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,-1.0,3.0,1.0,2.0,1.0,0.0,2.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,2.0,0.0,2.0,-1.0,2.0,3.0,-1.0,2.0,2.0,1.0,2.0,0.0,0.0,-1.0,-1.0,3.0,0.0,0.0,0.0,96377.0,575,99449.0
-1.0,1.0,1.0,-1.0,0.0,3.0,0.0,2.0,2.0,2.0,-1.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,-1.0,1.0,-1.0,1.0,-1.0,96788.0,538,99505.0
-1.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,0.0,2.0,1.0,2.0,3.0,0.0,-1.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,-1.0,2.0,1.0,-1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,3.0,0.0,1.0,3.0,3.0,0.0,2.0,2.0,96929.0,583,99487.0
0.0,3.0,-1.0,2.0,0.0,2.0,3.0,1.0,3.0,3.0,-1.0,0.0,-1.0,-1.0,2.0,1.0,3.0,1.0,0.0,-1.0,1.0,3.0,0.0,1.0,-1.0,2.0,3.0,1.0,2.0,0.0,0.0,-1.0,0.0,3.0,0.0,1.0,2.0,0.0,-1.0,-1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,96905.0,565,99502.0
2.0,-1.0,0.0,3.0,2.0,-1.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,2.0,0.0,2.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,-1.0,1.0,-1.0,3.0,0.0,96378.0,570,99446.0
0.0,-1.0,2.0,3.0,3.0,2.0,-1.0,-1.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,-1.0,1.0,3.0,-1.0,3.0,2.0,3.0,2.0,-1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,-1.0,1.0,1.0,97068.0,548,99523.0
2.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,-1.0,2.0,1.0,-1.0,0.0,1.0,3.0,-1.0,-1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,-1.0,2.0,0.0,96644.0,563,99486.0
3.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,-1.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,1.0,0.0,3.0,1.0,-1.0,3.0,0.0,2.0,0.0,96420.0,656,99401.0
