$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
1,0,-1,3,3,3,1,2,0,1,0,2,1,-1,-1,1,-1,2,0,-1,1,-1,-1,0,2,2,2,3,-1,-1,0,-1,2,0,1,3,2,0,3,0,-1,-1,-1,3,2,-1,1,3,-1,3,96037.0,489,99532.0
3,2,3,2,-1,0,1,2,1,-1,2,-1,0,1,2,3,0,3,1,0,0,-1,2,2,0,2,3,3,2,1,1,0,-1,2,3,1,0,1,0,3,0,-1,2,-1,1,-1,3,0,1,-1,95232.0,599,99444.0
3,-1,0,1,-1,-1,0,0,3,-1,-1,0,2,1,-1,3,2,2,-1,1,2,-1,0,0,2,1,1,1,-1,1,0,3,3,1,3,3,3,0,2,2,0,1,-1,3,0,-1,2,1,2,-1,95589.0,557,99471.0
3,1,1,0,3,-1,1,2,0,0,-1,0,1,1,-1,3,2,1,3,2,3,3,3,3,-1,0,1,2,-1,1,0,0,2,1,2,0,2,-1,-1,3,1,0,2,2,1,-1,2,0,-1,3,95052.0,590,99431.0
1,1,1,-1,3,-1,2,-1,2,2,2,-1,3,2,1,0,3,-1,2,0,0,0,0,-1,0,1,3,-1,1,0,2,-1,2,3,3,2,3,1,3,2,3,3,3,-1,3,1,-1,1,0,2,95645.0,599,99439.0
2,0,3,-1,3,3,1,1,-1,1,-1,0,2,0,-1,0,0,3,2,3,0,2,2,-1,3,1,1,-1,2,3,2,-1,1,1,3,2,2,0,1,1,2,2,3,-1,0,-1,1,3,3,-1,95606.0,585,99461.0
3,3,-1,0,0,3,0,-1,2,3,1,-1,3,-1,1,-1,0,0,3,-1,2,-1,2,-1,2,1,1,-1,3,-1,-1,3,3,2,3,0,1,-1,0,0,1,1,1,0,-1,2,2,0,2,1,95592.0,531,99473.0
-1,-1,0,1,-1,3,-1,2,3,1,0,0,3,2,3,2,-1,3,0,1,1,-1,3,2,1,3,3,1,1,1,2,-1,2,2,3,0,2,-1,3,0,-1,0,2,-1,2,3,0,2,-1,-1,95818.0,548,99467.0
-1,3,-1,2,-1,3,1,1,0,2,2,0,2,-1,0,1,1,3,3,2,-1,0,-1,2,1,-1,3,2,2,-1,2,0,-1,1,0,3,3,3,2,3,2,2,1,0,0,0,3,-1,-1,-1,95619.0,563,99482.0
2,-1,0,2,1,-1,3,1,1,1,0,-1,3,3,-1,3,3,-1,0,0,2,0,2,1,2,-1,0,1,3,0,0,1,-1,1,3,0,2,2,0,0,2,2,3,1,-1,-1,2,-1,2,3,95412.0,573,99461.0
-1,2,1,1,2,0,0,2,0,2,1,0,0,3,0,2,1,2,-1,3,1,2,3,1,-1,3,3,2,-1,1,-1,1,3,1,3,2,2,3,3,0,2,0,-1,1,1,0,3,0,0,-1,94918.0,640,99404.0
1,0,-1,1,1,-1,-1,2,0,2,2,-1,2,-1,-1,-1,-1,-1,2,0,1,0,0,-1,3,0,3,1,0,2,0,-1,-1,3,-1,1,0,2,1,2,2,0,0,1,3,3,3,1,2,3,95356.0,543,99485.0
-1,0,3,2,3,3,1,2,2,0,1,2,2,2,1,0,3,0,3,3,0,-1,0,0,2,1,2,-1,1,0,1,-1,3,1,-1,3,3,1,-1,2,2,-1,3,1,1,-1,1,0,-1,0,95344.0,590,99453.0
3,-1,3,2,3,3,2,2,0,0,0,-1,-1,0,0,1,-1,1,3,-1,2,2,1,3,0,-1,2,2,0,2,2,0,1,-1,1,1,1,1,2,2,-1,0,3,0,1,1,3,0,1,3,95037.0,606,99440.0
0,2,-1,0,-1,-1,-1,2,2,1,1,2,-1,1,0,2,3,0,1,1,1,-1,-1,-1,1,2,0,3,0,0,1,2,-1,3,3,1,3,0,2,2,1,0,0,-1,3,2,3,0,1,3,95226.0,588,99452.0
2,3,-1,1,2,2,-1,0,2,3,0,1,1,-1,0,1,2,-1,-1,0,1,-1,-1,3,-1,1,0,2,-1,3,0,-1,-1,0,0,-1,2,3,3,0,3,0,1,0,3,3,1,1,2,2,95459.0,554,99476.0
0,2,-1,3,3,1,3,1,0,0,-1,1,-1,3,0,-1,1,-1,1,-1,2,0,0,1,2,2,-1,2,2,-1,3,1,1,1,3,2,0,2,3,0,0,0,1,-1,-1,3,-1,0,2,-1,95522.0,567,99482.0
1,3,-1,0,-1,0,-1,3,1,2,0,1,0,1,0,3,2,2,2,2,-1,3,2,-1,0,3,1,0,1,1,0,0,2,-1,3,2,1,0,-1,2,-1,2,1,0,-1,-1,3,1,1,-1,95289.0,573,99469.0
