$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
1,2,3,1,-1,0,-1,0,0,3,1,2,-1,2,-1,0,0,3,-1,-1,1,3,-1,2,0,3,1,2,2,3,1,0,2,3,1,1,1,-1,1,2,-1,-1,1,0,0,2,2,0,0,-1,97695.0,582,99554.0
3,3,-1,2,3,0,1,0,-1,3,0,0,3,1,3,1,2,2,1,1,-1,1,0,3,2,2,-1,3,2,-1,1,2,3,-1,-1,1,2,2,2,1,0,3,-1,0,0,-1,0,0,1,1,97474.0,630,99507.0
0,1,0,-1,1,0,2,2,-1,3,-1,2,1,3,2,3,0,3,1,1,2,-1,0,-1,3,3,2,1,3,2,0,2,-1,2,0,0,2,1,3,1,3,-1,0,3,-1,1,2,-1,0,3,97725.0,613,99520.0
3,1,2,-1,1,0,-1,-1,2,0,-1,-1,1,0,-1,0,-1,2,0,2,3,1,0,3,0,-1,3,1,0,3,3,0,-1,1,1,1,2,1,0,1,3,2,2,0,2,2,2,-1,2,1,97507.0,595,99534.0
0,1,2,1,1,3,-1,2,0,3,-1,0,2,1,1,-1,0,2,3,0,-1,-1,0,-1,1,-1,3,2,1,1,3,2,2,1,1,2,3,0,2,-1,-1,1,3,0,0,-1,3,0,0,3,97496.0,598,99518.0
0,0,3,1,2,3,-1,3,0,1,3,2,1,0,1,1,1,-1,1,2,0,1,3,-1,-1,2,2,0,0,1,-1,-1,3,-1,-1,2,2,0,1,0,3,3,2,0,-1,1,2,3,2,2,97464.0,628,99499.0
2,2,-1,0,3,-1,2,2,2,0,2,3,0,-1,2,0,0,2,-1,2,3,0,0,3,-1,-1,-1,-1,1,0,-1,1,1,1,0,1,2,-1,3,0,3,1,-1,-1,1,1,1,3,1,1,97714.0,564,99560.0
3,1,0,3,1,1,0,2,-1,1,-1,-1,-1,3,-1,3,0,2,2,2,3,2,0,1,0,-1,2,1,-1,2,3,-1,2,0,2,0,1,3,-1,-1,1,1,3,0,0,2,2,1,0,3,97620.0,615,99540.0
-1,2,-1,-1,1,0,2,-1,1,0,0,2,2,3,3,0,-1,1,1,0,3,3,3,-1,2,1,-1,-1,3,3,3,1,-1,2,-1,0,-1,-1,0,0,3,0,2,1,1,1,1,1,0,3,97710.0,555,99547.0
0,1,2,1,3,1,-1,3,1,2,3,2,2,2,2,2,3,-1,-1,1,3,-1,-1,0,0,3,1,2,1,1,0,-1,-1,3,3,0,2,0,0,-1,3,1,3,0,2,0,2,1,1,0,97583.0,624,99514.0
2,-1,3,0,1,2,-1,0,2,-1,2,0,-1,-1,2,-1,1,-1,1,1,3,-1,2,2,2,-1,-1,-1,1,1,0,-1,3,0,2,0,0,0,0,1,1,1,2,1,-1,-1,1,0,2,-1,97857.0,519,99589.0
1,0,2,0,3,2,1,1,0,2,0,3,3,-1,0,-1,0,1,1,-1,1,2,-1,0,-1,3,0,2,3,3,-1,2,1,-1,3,1,2,2,1,2,2,0,0,-1,1,-1,-1,1,3,1,97596.0,614,99511.0
0,1,3,3,2,2,-1,1,3,2,3,1,0,2,0,0,-1,3,1,2,0,1,0,-1,1,2,1,1,0,0,-1,3,3,3,2,2,0,-1,3,2,3,-1,2,2,0,-1,1,-1,1,0,97523.0,627,99501.0
2,-1,2,0,0,-1,3,0,3,0,0,1,1,2,2,3,1,1,1,3,0,2,3,0,1,-1,3,0,-1,2,2,2,-1,-1,-1,1,0,-1,3,-1,3,2,2,0,1,1,1,1,-1,2,97617.0,588,99528.0
-1,0,0,1,-1,0,2,3,-1,-1,3,0,-1,2,-1,2,2,2,1,0,-1,2,2,3,0,1,-1,0,-1,-1,0,-1,-1,3,2,2,1,1,1,1,1,0,0,1,2,-1,3,1,1,3,97793.0,564,99580.0
-1,0,3,0,-1,3,3,0,1,2,1,3,0,1,1,3,3,0,-1,-1,1,3,-1,2,1,1,1,1,2,0,2,2,2,2,-1,-1,1,0,3,-1,0,-1,3,2,1,-1,3,3,2,1,97666.0,590,99521.0
1,2,2,1,2,0,0,1,-1,2,1,-1,2,2,3,-1,3,0,1,0,2,2,2,3,-1,0,1,3,0,0,3,0,1,3,0,3,-1,2,1,0,-1,2,-1,-1,-1,3,1,1,0,1,97530.0,631,99516.0
-1,3,1,-1,1,-1,-1,0,0,1,2,3,0,1,1,-1,2,-1,2,3,0,0,0,1,3,0,2,2,3,1,2,2,3,-1,1,2,3,1,1,1,0,0,2,0,0,3,0,2,-1,2,97285.0,629,99476.0
0,3,0,0,2,1,2,1,-1,-1,0,2,2,0,-1,1,0,2,0,3,2,1,-1,-1,-1,2,-1,-1,-1,0,3,2,3,-1,1,1,3,2,2,1,3,1,1,3,0,1,1,2,-1,0,97535.0,609,99532.0
1,3,2,1,0,0,-1,3,2,3,0,3,0,2,0,2,3,0,1,2,3,0,1,-1,2,-1,3,1,0,2,-1,1,3,2,-1,1,2,1,3,0,-1,-1,1,3,0,-1,0,-1,2,0,97435.0,611,99504.0
1,3,3,3,1,-1,-1,0,2,2,3,2,-1,1,-1,-1,0,0,3,2,1,3,0,-1,1,3,0,1,2,0,2,1,0,3,1,1,1,2,-1,-1,2,3,-1,3,2,0,1,2,1,3,97631.0,628,99503.0
