$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
1,-1,1,3,-1,2,-1,2,2,0,-1,1,0,0,2,0,1,0,2,2,-1,1,3,3,3,0,2,0,1,-1,2,0,0,-1,0,2,0,1,2,3,0,-1,2,2,3,1,1,3,1,2,96070.0,630,99454.0
-1,1,0,-1,1,2,0,2,0,2,2,1,0,0,0,0,0,0,1,-1,3,3,2,3,1,1,2,0,0,2,1,-1,1,-1,-1,-1,-1,3,1,-1,2,1,1,1,-1,3,2,1,0,2,96139.0,618,99475.0
1,0,-1,1,2,0,-1,0,2,0,0,1,2,2,1,-1,3,3,2,2,1,3,3,0,-1,-1,2,0,3,-1,2,-1,3,2,-1,2,0,1,3,1,1,2,2,2,2,0,1,0,0,0,96110.0,632,99457.0
-1,2,2,-1,3,0,2,2,1,2,1,0,1,3,1,0,3,0,0,1,1,3,3,3,2,0,-1,2,2,1,0,2,-1,0,1,0,2,1,1,0,2,0,2,2,-1,0,-1,-1,2,0,95860.0,651,99422.0
2,3,1,-1,-1,0,2,-1,-1,0,3,2,3,0,2,0,-1,-1,-1,-1,0,1,1,1,2,2,1,1,-1,3,2,-1,-1,-1,0,0,-1,1,0,-1,1,2,0,-1,0,-1,3,3,1,0,96780.0,522,99575.0
1,3,3,0,-1,2,2,-1,0,-1,0,1,-1,1,2,0,2,2,2,3,3,1,0,2,-1,0,3,0,3,2,1,-1,1,0,3,0,0,1,1,0,-1,2,1,3,-1,2,2,3,2,1,96266.0,626,99454.0
3,0,2,-1,1,0,1,3,-1,2,3,1,1,-1,-1,-1,2,2,-1,1,1,0,1,0,0,1,2,2,-1,-1,0,1,-1,1,2,2,0,3,0,1,3,3,3,-1,3,2,-1,-1,2,0,96442.0,574,99491.0
1,1,3,1,-1,-1,0,0,1,-1,0,-1,-1,0,2,1,2,1,0,2,0,3,1,2,1,2,3,2,3,1,3,2,3,-1,2,1,3,3,2,1,0,0,2,2,2,2,-1,1,-1,3,96318.0,639,99455.0
2,-1,1,0,0,-1,2,2,0,1,2,0,0,1,-1,1,0,2,2,-1,-1,0,0,2,1,1,1,-1,3,0,-1,3,-1,2,3,2,0,3,2,0,2,-1,3,1,-1,0,1,3,2,2,96278.0,602,99484.0
1,2,-1,0,1,-1,1,0,2,2,0,-1,3,0,0,0,3,1,2,2,2,1,2,2,3,0,1,3,0,0,2,3,2,1,0,3,2,-1,0,1,-1,3,0,-1,1,2,1,1,-1,1,96043.0,642,99436.0
0,0,3,-1,1,1,2,2,3,2,-1,1,2,2,1,-1,3,1,-1,2,-1,2,-1,2,3,3,1,1,2,2,-1,1,1,0,3,0,2,-1,0,0,3,3,3,1,0,2,3,-1,0,1,96533.0,616,99458.0
0,0,0,2,1,2,3,-1,2,3,0,2,2,2,0,3,2,2,0,1,2,0,1,1,0,1,2,3,1,3,3,-1,3,0,3,2,1,1,2,-1,0,0,0,3,3,1,1,2,3,-1,96010.0,700,99403.0
2,1,3,3,0,3,-1,0,3,-1,2,-1,0,2,1,0,2,0,0,3,-1,2,1,2,0,-1,3,3,1,1,1,3,1,0,-1,0,2,2,-1,2,2,-1,3,3,3,2,0,0,2,0,96427.0,620,99462.0
2,2,1,2,0,-1,0,3,2,1,-1,3,-1,1,-1,-1,0,1,2,0,0,3,2,0,1,2,0,1,2,1,-1,-1,2,2,1,3,2,3,0,1,0,2,0,0,-1,-1,0,3,0,1,96061.0,631,99464.0
2,1,1,0,2,3,3,2,3,3,1,0,3,-1,1,0,2,1,-1,3,3,-1,-1,2,0,-1,0,0,0,3,0,0,2,1,1,2,1,-1,2,0,2,2,-1,1,1,1,1,3,2,2,96166.0,647,99433.0
-1,-1,0,1,3,2,2,3,3,0,2,0,1,1,0,1,0,0,-1,2,1,1,3,1,-1,1,2,2,-1,0,-1,0,-1,-1,2,-1,1,1,0,0,3,2,2,1,0,2,0,3,2,0,96097.0,629,99453.0
1,-1,2,0,-1,-1,2,3,3,1,-1,2,0,3,2,2,0,2,-1,2,3,0,0,3,-1,1,1,3,-1,1,2,1,0,1,-1,2,0,2,0,3,1,0,2,-1,3,3,-1,0,3,2,96506.0,596,99472.0
-1,2,1,1,0,0,0,-1,2,1,0,1,-1,3,0,1,3,0,-1,1,0,1,3,3,3,0,0,3,1,1,2,1,3,1,2,-1,1,2,2,1,2,1,-1,-1,0,-1,-1,2,2,3,96269.0,620,99469.0
3,0,3,-1,0,2,1,1,2,2,3,0,1,2,1,1,0,1,2,1,0,2,2,2,-1,3,3,3,1,2,2,2,3,0,0,3,1,-1,0,0,-1,3,0,3,0,3,2,-1,0,1,95847.0,666,99397.0
2,0,3,2,0,0,1,1,0,1,0,3,2,3,-1,0,1,3,2,1,3,0,1,3,3,2,2,3,0,2,2,0,0,1,1,-1,1,2,0,1,2,1,3,1,-1,3,2,1,-1,2,95917.0,695,99387.0
1,2,0,3,1,1,-1,3,1,-1,0,2,3,0,3,-1,2,1,1,3,0,-1,-1,2,-1,0,-1,0,-1,3,1,2,1,3,3,2,1,3,3,0,0,2,0,-1,1,0,-1,2,1,2,96280.0,602,99483.0
0,1,2,3,-1,0,-1,0,2,1,3,0,0,-1,2,-1,1,0,1,3,1,1,1,2,3,1,0,3,-1,2,3,1,3,2,3,-1,3,2,0,1,3,-1,0,3,2,-1,0,2,-1,1,96472.0,615,99485.0
0,1,0,1,1,3,2,0,-1,1,0,1,1,1,0,0,1,1,-1,2,0,2,2,3,0,-1,2,1,0,2,1,1,1,0,3,3,0,3,0,1,2,0,-1,-1,-1,2,3,-1,2,-1,95890.0,625,99434.0
2,1,2,3,0,1,0,1,-1,0,-1,2,1,1,2,0,2,1,0,2,3,2,-1,0,2,0,3,0,0,0,1,3,2,-1,0,2,-1,1,0,2,3,1,0,1,3,1,1,0,-1,2,95757.0,673,99428.0
3,3,3,-1,2,-1,1,0,2,0,-1,0,2,0,3,0,-1,3,3,0,1,1,2,2,2,1,2,0,0,3,-1,1,-1,-1,2,2,2,3,0,0,1,2,-1,0,3,1,1,0,2,-1,96163.0,629,99460.0
2,2,3,0,0,2,3,0,-1,2,-1,-1,2,0,1,-1,1,1,2,1,2,3,1,0,1,1,3,0,1,0,1,3,2,1,-1,1,-1,2,0,0,-1,-1,2,2,3,3,0,1,1,3,96207.0,628,99461.0
0,0,3,3,3,-1,2,2,1,1,-1,2,2,1,0,0,3,0,3,2,0,0,-1,3,1,2,2,-1,-1,-1,3,1,1,0,1,1,0,1,2,0,1,-1,2,0,1,1,0,-1,1,0,95876.0,634,99448.0
