$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
1,2,0,-1,2,1,2,3,1,-1,1,0,0,2,1,-1,1,0,2,0,-1,3,0,2,2,-1,2,1,1,0,3,0,0,3,1,3,3,1,2,0,-1,0,0,2,1,1,-1,0,2,2,97146.0,587,99431.0
-1,0,0,1,-1,0,2,2,3,1,-1,0,2,2,0,0,1,0,1,2,1,-1,3,3,2,2,1,1,0,2,1,3,1,2,1,-1,-1,0,0,1,1,2,1,3,-1,2,2,-1,3,0,97233.0,582,99433.0
3,3,-1,1,-1,1,1,1,-1,1,2,1,0,2,0,0,1,1,-1,2,3,0,0,2,0,3,-1,2,3,1,-1,3,0,1,2,0,-1,2,3,2,2,1,0,1,1,0,-1,-1,2,0,97340.0,579,99473.0
1,0,-1,2,2,2,2,0,2,2,0,3,3,0,1,-1,0,1,3,2,-1,3,2,1,0,3,3,2,2,0,2,-1,3,0,-1,-1,3,-1,0,3,2,2,-1,0,0,-1,3,0,1,2,97397.0,556,99441.0
-1,2,-1,-1,1,1,2,2,0,3,3,3,2,2,0,-1,1,1,0,1,2,1,1,1,2,3,-1,3,-1,1,2,1,1,1,2,1,3,0,2,2,2,0,0,-1,0,3,2,3,3,-1,97454.0,585,99446.0
0,1,1,3,-1,-1,-1,0,0,0,1,1,1,2,3,2,0,3,-1,1,1,-1,1,2,0,1,1,3,1,0,1,-1,3,3,-1,1,3,0,0,-1,2,2,2,0,3,2,2,-1,1,3,97369.0,567,99465.0
3,1,0,1,2,2,2,2,2,-1,0,0,3,3,-1,2,2,3,0,1,3,2,1,3,-1,2,0,1,2,1,2,2,1,-1,1,3,1,1,3,0,-1,1,-1,1,2,0,3,-1,-1,0,97451.0,568,99452.0
1,1,3,0,1,3,2,3,0,-1,1,2,2,1,3,-1,3,1,1,1,2,2,0,0,2,0,3,0,0,-1,2,3,-1,-1,2,0,1,2,-1,0,1,-1,0,3,3,3,1,0,-1,0,97323.0,581,99439.0
2,-1,0,1,3,-1,1,0,2,0,0,0,2,0,1,1,2,3,3,-1,-1,0,-1,0,0,3,1,0,1,1,-1,0,2,0,0,2,-1,1,2,0,1,2,3,2,2,3,2,1,1,3,96949.0,600,99416.0
0,2,2,0,0,1,0,0,-1,1,2,0,0,3,2,1,3,2,2,3,2,-1,-1,1,-1,-1,1,-1,0,2,1,1,3,2,-1,1,0,1,-1,0,1,1,2,0,1,0,2,-1,3,1,97064.0,567,99450.0
1,2,2,-1,-1,-1,2,1,-1,2,1,0,3,0,1,0,-1,0,2,2,-1,3,2,0,0,1,3,0,-1,3,-1,3,3,1,0,-1,1,2,1,3,-1,0,1,0,2,1,2,0,1,3,97433.0,557,99474.0
-1,0,-1,2,3,-1,2,0,3,0,2,3,2,1,0,1,2,2,2,3,-1,2,0,1,-1,0,0,0,2,-1,-1,3,0,1,-1,2,-1,2,2,1,2,1,1,3,3,0,1,-1,0,-1,97403.0,541,99467.0
1,3,2,0,1,1,2,3,0,-1,1,2,0,0,3,-1,1,2,3,-1,1,1,0,-1,-1,1,-1,0,3,2,1,0,-1,0,-1,2,1,0,0,0,-1,1,0,-1,2,-1,2,-1,1,1,97411.0,527,99496.0
0,2,2,1,-1,1,-1,3,3,-1,2,1,3,0,-1,2,0,1,2,1,1,-1,2,1,2,2,3,0,3,2,1,1,0,0,2,2,0,2,0,2,2,-1,3,1,0,0,1,-1,0,-1,97229.0,569,99441.0
0,0,1,0,2,0,0,0,1,-1,0,3,2,0,1,1,1,3,3,0,-1,3,2,-1,0,1,2,1,2,-1,0,-1,3,2,3,3,0,1,3,-1,0,-1,1,2,2,2,2,0,-1,1,97164.0,580,99439.0
0,-1,1,1,0,-1,3,2,0,1,2,2,1,1,2,1,-1,2,1,2,1,-1,-1,0,2,1,3,2,3,3,0,0,0,0,3,1,3,1,2,-1,-1,2,0,0,2,0,0,1,1,0,96949.0,590,99415.0
2,0,2,1,1,0,3,2,0,-1,-1,3,3,2,3,0,-1,1,0,-1,1,3,-1,1,3,3,1,2,2,0,0,1,2,2,1,2,0,1,2,1,1,3,2,1,0,2,1,2,0,0,97090.0,632,99414.0
3,0,0,3,0,3,0,1,1,0,-1,2,1,0,3,1,0,2,2,3,-1,0,3,0,0,2,3,0,3,0,1,2,3,1,1,2,1,0,3,1,2,1,-1,1,2,0,1,1,3,-1,96907.0,635,99368.0
2,0,-1,1,3,-1,0,3,1,0,1,0,0,0,1,2,1,1,0,1,0,3,-1,-1,-1,-1,0,3,2,3,-1,2,0,2,-1,-1,3,3,0,2,2,-1,2,0,1,1,-1,-1,2,2,97382.0,534,99490.0
0,2,0,2,0,0,1,0,2,2,1,2,3,0,3,-1,1,1,2,1,1,2,0,-1,0,2,0,2,2,-1,0,0,3,1,2,1,1,3,2,1,0,1,2,-1,3,1,-1,0,1,0,96926.0,631,99400.0
1,0,1,-1,-1,3,2,1,0,3,1,-1,-1,-1,-1,2,1,1,2,0,0,-1,2,2,0,2,-1,-1,-1,1,2,-1,0,0,2,1,2,0,3,2,1,2,3,1,0,0,1,0,1,3,97553.0,542,99517.0
0,2,1,1,1,-1,0,3,3,1,3,0,2,2,-1,3,-1,2,1,0,0,0,-1,-1,-1,3,1,2,1,2,1,2,1,-1,-1,2,1,2,0,0,0,3,-1,1,1,0,-1,0,2,0,97302.0,555,99474.0
1,1,1,-1,3,1,0,2,2,2,0,3,3,1,1,-1,3,1,3,1,0,0,2,0,0,0,0,3,3,1,2,-1,0,1,2,2,0,2,-1,2,0,2,2,2,1,0,2,2,-1,0,97230.0,619,99418.0
2,2,-1,1,1,3,-1,0,-1,-1,2,0,2,0,2,3,3,2,2,0,0,1,2,1,3,2,1,1,-1,0,2,3,1,0,2,3,1,1,0,0,2,1,0,-1,1,0,0,1,0,0,97067.0,605,99425.0
2,2,-1,-1,2,1,2,2,0,-1,1,1,1,0,-1,3,3,2,3,0,2,-1,1,0,1,0,1,0,3,2,-1,2,1,1,1,3,0,2,3,2,0,2,0,0,1,0,0,1,3,-1,97232.0,584,99444.0
0,-1,3,0,1,0,0,2,1,2,1,-1,0,1,1,3,2,0,0,0,-1,2,0,3,1,3,0,3,2,3,0,1,0,-1,1,1,3,1,2,2,1,2,0,2,1,2,2,1,2,1,96771.0,636,99381.0
0,0,3,-1,1,1,0,0,1,2,1,2,-1,0,2,2,1,-1,3,0,0,0,2,-1,3,2,1,0,1,0,2,1,-1,-1,2,1,0,0,2,3,0,1,3,3,-1,1,3,1,2,1,97217.0,602,99442.0
1,0,-1,1,-1,3,1,2,1,3,1,1,1,-1,-1,1,1,0,-1,2,0,2,1,2,2,1,-1,3,0,-1,3,2,1,0,-1,3,2,-1,3,3,1,2,2,-1,2,2,2,-1,0,0,97628.0,540,99499.0
-1,1,-1,1,2,0,-1,3,1,2,-1,2,2,-1,0,-1,0,1,-1,1,0,2,2,0,2,1,1,1,1,0,0,0,3,-1,2,1,3,3,1,3,-1,2,2,0,0,3,1,0,-1,1,97397.0,549,99485.0
1,2,1,2,0,1,0,2,2,3,0,0,3,1,1,3,0,-1,0,-1,-1,1,3,1,3,-1,0,0,2,-1,3,-1,2,2,0,3,0,2,-1,2,1,1,1,2,3,2,3,0,2,2,97222.0,593,99419.0
0,2,0,-1,1,-1,-1,2,-1,0,1,1,2,1,0,3,0,3,0,1,0,1,0,-1,0,2,1,3,0,2,1,-1,-1,-1,1,1,2,2,1,1,2,3,2,2,0,0,-1,-1,-1,1,97324.0,536,99494.0
